Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Examples\Nodify.Calculator\Nodify.Calculator.csproj,File,Examples\Nodify.Calculator\Nodify.Calculator.csproj,,,,,,,,Current target framework: net9-windows;net8-windows;net6-windows;net5-windows;netcoreapp3.1;net48;net472 Recommended target framework: net9-windows;net8-windows;net6-windows;net5-windows;netcoreapp3.1;net48;net472;net10.0-windows
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Examples\Nodify.Playground\Nodify.Playground.csproj,File,Examples\Nodify.Playground\Nodify.Playground.csproj,,,,,,,,Current target framework: net9-windows;net8-windows;net6-windows;net5-windows;netcoreapp3.1;net48;net472 Recommended target framework: net9-windows;net8-windows;net6-windows;net5-windows;netcoreapp3.1;net48;net472;net10.0-windows
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Examples\Nodify.Shapes\Nodify.Shapes.csproj,File,Examples\Nodify.Shapes\Nodify.Shapes.csproj,,,,,,,,Current target framework: net9-windows;net8-windows;net6-windows;net5-windows;netcoreapp3.1;net48;net472 Recommended target framework: net9-windows;net8-windows;net6-windows;net5-windows;netcoreapp3.1;net48;net472;net10.0-windows
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Examples\Nodify.Shared\Nodify.Shared.csproj,File,Examples\Nodify.Shared\Nodify.Shared.csproj,,,,,,,,Current target framework: net9-windows;net8-windows;net6-windows;net5-windows;netcoreapp3.1;net48;net472 Recommended target framework: net9-windows;net8-windows;net6-windows;net5-windows;netcoreapp3.1;net48;net472;net10.0-windows
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Examples\Nodify.Shared\Nodify.Shared.csproj,File,Examples\Nodify.Shared\obj\Debug\net9-windows\GeneratedInternalTypeHelper.g.i.cs,19,76,M:System.Windows.Markup.InternalTypeHelper.#ctor,,,,,InternalTypeHelper
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Examples\Nodify.Shared\Nodify.Shared.csproj,File,Examples\Nodify.Shared\obj\Debug\net9-windows\GeneratedInternalTypeHelper.g.i.cs,19,76,T:System.Windows.Markup.InternalTypeHelper,,,,,InternalTypeHelper
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Examples\Nodify.Shared\Nodify.Shared.csproj,File,Examples\Nodify.Shared\Controls\EditableTextBlock.cs,8,5,M:System.Windows.TemplatePartAttribute.#ctor,,,,,"TemplatePart(Name = ElementTextBox, Type = typeof(TextBox))"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Examples\Nodify.Shared\Nodify.Shared.csproj,File,Examples\Nodify.Shared\Controls\EditableTextBlock.cs,8,5,T:System.Windows.TemplatePartAttribute,,,,,"TemplatePart(Name = ElementTextBox, Type = typeof(TextBox))"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Examples\Nodify.Shared\Nodify.Shared.csproj,File,Examples\Nodify.Shared\Controls\EditableTextBlock.cs,165,8,T:System.Windows.Input.KeyEventArgs,,,,,protected override void OnKeyDown(KeyEventArgs e)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Examples\Nodify.Shared\Nodify.Shared.csproj,File,Examples\Nodify.Shared\Controls\EditableTextBlock.cs,172,12,P:System.Windows.UIElement.IsFocused,,,,,if (e.Key == Key.Enter && IsFocused && !IsEditing)              {                  IsEditing = true;              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Examples\Nodify.Shared\Nodify.Shared.csproj,File,Examples\Nodify.Shared\Controls\EditableTextBlock.cs,172,12,T:System.Windows.Input.Key,,,,,if (e.Key == Key.Enter && IsFocused && !IsEditing)              {                  IsEditing = true;              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Examples\Nodify.Shared\Nodify.Shared.csproj,File,Examples\Nodify.Shared\Controls\EditableTextBlock.cs,172,12,T:System.Windows.Input.Key,,,,,if (e.Key == Key.Enter && IsFocused && !IsEditing)              {                  IsEditing = true;              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Examples\Nodify.Shared\Nodify.Shared.csproj,File,Examples\Nodify.Shared\Controls\EditableTextBlock.cs,172,12,F:System.Windows.Input.Key.Enter,,,,,if (e.Key == Key.Enter && IsFocused && !IsEditing)              {                  IsEditing = true;              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Examples\Nodify.Shared\Nodify.Shared.csproj,File,Examples\Nodify.Shared\Controls\EditableTextBlock.cs,172,12,T:System.Windows.Input.Key,,,,,if (e.Key == Key.Enter && IsFocused && !IsEditing)              {                  IsEditing = true;              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Examples\Nodify.Shared\Nodify.Shared.csproj,File,Examples\Nodify.Shared\Controls\EditableTextBlock.cs,172,12,P:System.Windows.Input.KeyEventArgs.Key,,,,,if (e.Key == Key.Enter && IsFocused && !IsEditing)              {                  IsEditing = true;              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Examples\Nodify.Shared\Nodify.Shared.csproj,File,Examples\Nodify.Shared\Controls\EditableTextBlock.cs,167,12,T:System.Windows.Input.Key,,,,,if (IsEditing && e.Key == Key.Escape || !AcceptsReturn && e.Key == Key.Enter)              {                  IsEditing = false;              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Examples\Nodify.Shared\Nodify.Shared.csproj,File,Examples\Nodify.Shared\Controls\EditableTextBlock.cs,167,12,T:System.Windows.Input.Key,,,,,if (IsEditing && e.Key == Key.Escape || !AcceptsReturn && e.Key == Key.Enter)              {                  IsEditing = false;              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Examples\Nodify.Shared\Nodify.Shared.csproj,File,Examples\Nodify.Shared\Controls\EditableTextBlock.cs,167,12,F:System.Windows.Input.Key.Enter,,,,,if (IsEditing && e.Key == Key.Escape || !AcceptsReturn && e.Key == Key.Enter)              {                  IsEditing = false;              }
